"name";"school";"X";"Y"
"GOGO新天地";"";"50534.254573";"22086.360885"
"N1座综合商业大楼";"";"49693.441865";"21735.355468"
"N2座综合商业大楼";"";"49826.600798";"21823.739099"
"N3座综合商业大楼";"";"49751.897937";"21953.819521"
"N4座综合商业大楼";"";"49652.789745";"22065.914233"
"北亭广场";"";"48562.139857";"21054.241661"
"大学城数字家庭和数字";"";"50007.539569";"21243.099794"
"大学城污水处理厂";"";"49025.959723";"21755.536434"
"东门广场";"";"52434.762587";"20369.0126"
"东门广场";"";"52335.633713";"20424.255376"
"广东科学中心";"";"47345.582701";"19264.737259"
"广东科学中心";"";"47411.927836";"19270.11995"
"广东科学中心";"";"47668.52953";"19311.833896"
"广东科学中心";"";"47703.581901";"19324.072516"
"广东科学中心";"";"47734.449046";"19311.896475"
"广东科学中心";"";"47518.532164";"19565.965585"
"广东省中医院";"";"50383.574014";"20378.990941"
"广东省中医院";"";"50359.472594";"20472.822602"
"广东省中医院";"";"50301.649515";"20550.566743"
"广东省中医院科研楼";"";"50221.165754";"20471.350877"
"广州大学附属中学";"";"50048.031124";"20299.848888"
"广州大学附属中学";"";"49882.143282";"20154.302318"
"广州大学附属中学";"";"49969.436905";"20143.391357"
"广州大学附属中学";"";"50052.40543";"20163.588688"
"岭南印象园";"";"51899.25004";"19088.914624"
"溜冰场";"";"51230.252424";"20343.932924"
"溜冰场";"";"51207.544462";"20369.684983"
"溜冰场";"";"49829.347194";"21900.918983"
"溜冰场";"";"49810.397589";"21921.566556"
"明浩演艺";"";"49590.350922";"22044.116235"
"数字家庭和数字电视科";"";"49980.766047";"21308.319756"
"文艺与创作中心";"";"50185.188743";"20922.138668"
"小谷围街司法所";"";"51185.342901";"20168.991968"
"小谷围派出所交警中队";"";"51207.789618";"20100.780632"
"中国电信大楼";"";"51086.290429";"20209.282838"
"综合商业服务南区商业";"";"51133.76315";"20118.357661"
"综合商业服务南区商业";"";"51295.025332";"20258.813053"
"广东工业大学 ";"广东工业大学";"51508.426363";"19330.23084"
"广东工业大学变电房";"广东工业大学";"49991.799738";"19808.469589"
"广东工业大学变电房";"广东工业大学";"50528.982276";"19851.50845"
"广东工业大学大讲堂";"广东工业大学";"51170.609568";"19007.266032"
"广东工业大学第二食堂";"广东工业大学";"50601.474002";"19869.112741"
"广东工业大学第三食堂";"广东工业大学";"50145.328763";"19861.246764"
"广东工业大学第四食堂/研究生食堂";"广东工业大学";"49725.755816";"19880.170396"
"广东工业大学第一食堂";"广东工业大学";"50875.645071";"20060.239272"
"广东工业大学东八";"广东工业大学";"50893.612828";"19995.606705"
"广东工业大学东二";"广东工业大学";"51008.114595";"19899.690781"
"广东工业大学东九";"广东工业大学";"50748.430559";"19804.247012"
"广东工业大学东六";"广东工业大学";"50893.143247";"19900.157084"
"广东工业大学东七";"广东工业大学";"50893.028627";"19947.681718"
"广东工业大学东三";"广东工业大学";"50989.796484";"19947.443588"
"广东工业大学东十";"广东工业大学";"50748.297632";"19852.095003"
"广东工业大学东十二";"广东工业大学";"50588.679625";"19945.941533"
"广东工业大学东十三";"广东工业大学";"50588.543688";"19993.11446"
"广东工业大学东十四";"广东工业大学";"50592.202687";"20040.425665"
"广东工业大学东四";"广东工业大学";"50892.724276";"19805.418328"
"广东工业大学东五";"广东工业大学";"50893.363099";"19852.468212"
"广东工业大学东一";"广东工业大学";"51006.125697";"19852.012109"
"广东工业大学工学院二号楼";"广东工业大学";"51189.952268";"19168.202353"
"广东工业大学工学院三号楼";"广东工业大学";"51191.700237";"19247.440603"
"广东工业大学工学院四号楼";"广东工业大学";"51192.137177";"19326.751676"
"广东工业大学工学院一号楼";"广东工业大学";"51206.517081";"19086.003336"
"广东工业大学公共教学楼二号";"广东工业大学";"51213.305478";"19611.596801"
"广东工业大学公共教学楼六号";"广东工业大学";"50843.093405";"19608.967572"
"广东工业大学公共教学楼三号";"广东工业大学";"50969.654287";"19515.000552"
"广东工业大学公共教学楼四号";"广东工业大学";"50970.097399";"19609.392547"
"广东工业大学公共教学楼五号";"广东工业大学";"50843.967377";"19514.872114"
"广东工业大学公共教学楼一号";"广东工业大学";"51241.394933";"19517.933964"
"广东工业大学广工大医院";"广东工业大学";"50776.763893";"20123.103558"
"广东工业大学教工东1栋";"广东工业大学";"50602.521389";"20089.444837"
"广东工业大学教工东2栋";"广东工业大学";"50597.678039";"20144.953599"
"广东工业大学教工东3栋";"广东工业大学";"50673.853712";"20146.046709"
"广东工业大学教工西1栋";"广东工业大学";"49923.107288";"19766.744716"
"广东工业大学教工西2栋";"广东工业大学";"49946.360373";"19800.271649"
"广东工业大学教工西3栋";"广东工业大学";"49945.50028";"19856.332866"
"广东工业大学理学楼";"广东工业大学";"51368.814556";"19087.062512"
"广东工业大学实验楼三号楼";"广东工业大学";"51375.671776";"19326.556767"
"广东工业大学实验楼四号楼";"广东工业大学";"51373.905289";"19410.017761"
"广东工业大学实验楼一号楼";"广东工业大学";"51371.1143";"19166.719424"
