"FID";"road_name";"distance";"prev_bus_stop_x";"prev_bus_stop_y";"bus_stop_x";"bus_stop_y";"prev_bus_stop_id";"prev_bus_stop";"bus_stop_id";"bus_stop";"coordinates"
1;"夜65路";"632.115625387841";"51210.9848";"22001.9019";"50689.9801";"22336.0054";"B27";"广外站";"B26";"中环东路站";"51210.984799999744,22001.90190000087,51196.281599998474,21998.52739999816,51157.48820000142,22049.437399998307,51104.210599999875,22114.639400001615,51049.3761,22178.572099998593,50997.35830000043,22215.93980000168,50916.43140000105,22263.75510000065,50835.55730000138,22295.119399998337,50778.53229999915,22312.22329999879,50716.0700000003,22321.2928000018,50694.21449999884,22322.485700000077,50689.980099998415,22336.005399998277"
2;"夜65路";"480.848987662339";"50226.9943";"22139.2219";"49881.9355";"21804.3336";"B25";"中大站";"B18";"综合商业北区站";"50226.99430000037,22139.22190000117,50228.9477000013,22122.665399998426,50179.93629999831,22074.413899999112,50149.596200000495,22044.362599998713,50066.34019999951,21966.890200000256,50004.86919999868,21910.161299999803,49949.25160000101,21853.45120000094,49914.237700000405,21820.854100000113,49897.90199999884,21804.34849999845,49890.895799998194,21798.841699998826,49881.93549999967,21804.333599999547"
3;"夜65路";"509.511434744672";"50689.9801";"22336.0054";"50226.9943";"22139.2219";"B26";"中环东路站";"B25";"中大站";"50689.980099998415,22336.005399998277,50683.29830000177,22319.49509999901,50614.62189999968,22319.264299999923,50549.101500000805,22308.49940000102,50459.433299999684,22283.731699999422,50387.352499999106,22250.165800001472,50308.31579999998,22195.485399998724,50260.05420000106,22156.9375,50244.50519999862,22138.324599999934,50237.11630000174,22130.708000000566,50226.99430000037,22139.22190000117"
5;"大学城专线4";"574.739471167264";"49060.6462";"19560.9055";"48518.3415";"19706.2617";"B05";"广大公寓站";"B04";"广大生活区站";"49060.64620000124,19560.90549999848,49034.788800001144,19543.401000000536,48871.28909999877,19559.51359999925,48770.044100001454,19573.07919999957,48684.729400001466,19580.379599999636,48637.41270000115,19590.387800000608,48605.05249999836,19602.781399998814,48560.04069999978,19630.427700001746,48518.65529999882,19672.373399998993,48518.341499999166,19706.261700000614"
6;"大学城专线4";"538.189723069856";"49596.8167";"19514.7629";"49060.6462";"19560.9055";"A08";"广美生活区站";"B05";"广大公寓站";"49596.816700000316,19514.762899998575,49577.7237999998,19494.773299999535,49490.18149999902,19494.53559999913,49279.395599998534,19517.83370000124,49094.92700000107,19537.060499999672,49060.64620000124,19560.90549999848"
7;"大学城专线4";"428.355534294763";"48518.3415";"19706.2617";"48629.7326";"20072.4899";"B04";"广大生活区站";"B03";"广大站";"48518.341499999166,19706.261700000614,48492.16270000115,19711.615299999714,48479.55820000172,19737.73330000043,48465.75140000135,19783.677999999374,48461.1035999991,19831.128100000322,48464.522300001234,19875.023899998516,48476.417199999094,19921.793299999088,48500.615499999374,19971.435600001365,48525.169300001115,20004.18519999832,48550.10179999843,20028.177799999714,48588.830899998546,20061.455899998546,48629.732599999756,20072.489900000393"
8;"大学城专线4";"500.362473224408";"50049.2263";"19725.5633";"49596.8167";"19514.7629";"A23";"中环西路站";"A08";"广美生活区站";"50049.226300001144,19725.56329999864,50041.0362999998,19702.161400001496,49944.24410000071,19653.03819999844,49792.36719999835,19563.462200000882,49701.33139999956,19518.690200001,49637.96209999919,19503.517799999565,49596.816700000316,19514.762899998575"
9;"大学城专线4";"855.057035005907";"50893.4849";"19756.1122";"50049.2263";"19725.5633";"A24";"广工站";"A23";"中环西路站";"50893.48490000144,19756.112199999392,50868.017999999225,19733.206099998206,50773.37040000036,19727.348999999464,50680.60929999873,19727.370799999684,50499.21900000051,19744.826999999583,50385.13850000128,19756.590500000864,50268.029399998486,19755.80249999836,50182.2611999996,19745.37579999864,50079.47800000012,19716.74179999903,50049.226300001144,19725.56329999864"
10;"大学城专线4";"511.120946";"48629.7326";"20072.4899";"48549.9914";"20090.6648";"B03";"广大站";"C01";"大学城(广大)总站";"48629.732599999756,20072.489900000393,48637.330699998885,20105.601500000805,48659.20479999855,20126.390099998564,48726.46999999881,20187.52419999987,48779.9178000018,20232.42119999975,48612.7322999984,20084.499099999666,48549.99139999971,20090.664799999446"
11;"大学城专线4";"1312.511726";"50463.4817";"20473.8414";"50893.4849";"19756.1122";"B16";"省中医大学城医院站";"A24";"广工站";"50463.48169999942,20473.841400001198,50481.78649999946,20464.793099999428,50504.62889999896,20407.439399998635,50518.12110000104,20364.705600000918,50532.846200000495,20336.971599999815,50589.78500000015,20268.55050000176,50616.99370000139,20246.016800001264,50653.91629999876,20221.047499999404,50679.47529999912,20207.613499999046,50744.330299999565,20188.15210000053,50816.4263000004,20181.17590000108,50849.42529999837,20183.411600001156,50862.278200000525,20162.615499999374,50957.28209999949,20060.658799998462,51175.29500000179,19825.34160000086,51080.03170000017,19784.60790000111,51005.479899998754,19761.54899999872,50926.78249999881,19742.57059999928,50893.48490000144,19756.112199999392"
