"linenum";"startnum";"endnum";"Name";"Name_1";"Shape_Leng";"type";"coordinates"
307;106;113;"外环路";"外环路";"110.654337917";"LineString";"50769.13360000029,18795.737599998713,50772.96429999918,18791.501299999654,50778.67660000175,18783.789599999785,50783.10370000079,18776.93490000069,50787.387899998575,18770.651299998164,50792.814599998295,18762.22569999844,50800.24060000107,18761.797200001776,50808.237900000066,18761.797200001776,50814.664200000465,18761.797200001776,50817.52039999887,18763.225299999118,50823.94669999927,18773.793099999428,50828.37379999831,18782.64719999954,50834.51449999958,18790.073199998587,50838.655900001526,18792.6436999999,50845.17969999835,18796.782099999487"
308;106;113;"外环路";"外环路";"76.1342647219";"LineString";"50769.13360000029,18795.737599998713,50773.95329999924,18795.496700000018,50782.49650000036,18795.390000000596,50788.01099999994,18795.657299999148,50793.297499999404,18796.166799999774,50796.53570000082,18796.248399998993,50800.60669999942,18796.48290000111,50803.998700000346,18796.9151000008,50807.740499999374,18796.989900000393,50809.91059999913,18796.989900000393,50813.26179999858,18796.721200000495,50817.96110000089,18796.721200000495,50824.82919999957,18796.721200000495,50828.62480000034,18796.841699998826,50833.083099998534,18796.721200000495,50839.830699998885,18796.781399998814,50845.17969999835,18796.782099999487"
309;112;107;"外环路";"外环路";"63.6606349757";"LineString";"50811.8572999984,18822.742699999362,50799.731600001454,18823.463199999183,50794.84499999881,18823.00869999826,50778.61430000141,18822.742699999362,50767.57209999859,18823.54089999944,50748.281599998474,18824.206099998206"
310;112;107;"外环路";"外环路";"76.1889695935";"LineString";"50811.8572999984,18822.742699999362,50807.640200000256,18827.0709999986,50803.35599999875,18832.069299999624,50798.78610000014,18837.067499998957,50792.78819999844,18838.781199999154,50784.50530000031,18838.781199999154,50776.079700000584,18838.781199999154,50766.36870000139,18838.495600000024,50763.36980000138,18838.210000000894,50761.37049999833,18836.496300000697,50758.22870000079,18831.355200000107,50752.80200000107,18827.0709999986,50748.803399998695,18825.214499998838,50748.281599998474,18824.206099998206"
311;124;112;"外环路";"外环路";"222.104505146";"LineString";"51031.94669999927,18849.108600001782,51031.645300000906,18848.78500000015,51019.89629999921,18846.764400001615,51004.555300001055,18843.54659999907,50986.29580000043,18840.253899998963,50966.83889999986,18836.886300001293,50948.50450000167,18833.96779999882,50930.84369999915,18831.87240000069,50910.26429999992,18828.879099998623,50890.05900000036,18827.532099999487,50864.09160000086,18825.361900001764,50847.25389999896,18824.53869999945,50829.06920000166,18823.191700000316,50815.82349999994,18822.742699999362,50811.8572999984,18822.742699999362"
312;107;93;"外环路";"外环路";"239.347526167";"LineString";"50748.281599998474,18824.206099998206,50738.56980000064,18823.67390000075,50718.21489999816,18824.605200000107,50705.944099999964,18824.856699999422,50688.20839999989,18826.03539999947,50675.63630000129,18827.101799998432,50659.696600001305,18828.224300000817,50644.262099999934,18830.076400000602,50629.27650000155,18831.59180000052,50616.479899998754,18833.107200000435,50608.622299999,18834.229699999094,50603.90780000016,18835.183800000697,50587.12620000169,18837.597199998796,50576.069499999285,18840.515799999237,50566.808699999005,18842.92920000106,50557.15509999916,18845.735500000417,50545.42489999905,18848.204999998212,50531.84250000119,18851.516399998218,50518.48460000008,18854.042100001127,50511.97399999946,18855.950300000608"
313;127;124;"直走";"外环路";"32.9265300607";"LineString";"51063.76029999927,18857.59690000117,51031.94669999927,18849.108600001782"
314;565;124;"外环路";"外环路";"14.2812689362";"LineString";"51036.34380000085,18861.77670000121,51036.03130000085,18853.49509999901,51031.94669999927,18849.108600001782"
315;127;623;"外环路";"外环路";"14.268477109";"LineString";"51063.76029999927,18857.59690000117,51051.45030000061,18864.81170000136"
316;93;87;"直走";"外环路";"46.4131255352";"LineString";"50511.97399999946,18855.950300000608,50466.457400001585,18865.028700001538"
317;80;106;"外环路";"外环路";"410.269242108";"LineString";"50367.565900001675,18867.88280000165,50375.64799999818,18865.38839999959,50402.289000000805,18855.709800001234,50423.34230000153,18848.425999999046,50448.586399998516,18841.541200000793,50472.832600001246,18834.556699998677,50485.61699999869,18831.43160000071,50495.282900001854,18829.068900000304,50514.83960000053,18824.57880000025,50539.98380000144,18818.691799998283,50562.63360000029,18813.30380000174,50582.988499999046,18809.71169999987,50598.753600001335,18808.115299999714,50619.80689999834,18805.121899999678,50643.8535999991,18802.52769999951,50675.18420000002,18799.43450000137,50700.029199998826,18797.838100001216,50711.4039000012,18797.438900001347,50723.17790000141,18797.438900001347,50752.71240000054,18796.94009999931,50761.69249999896,18796.141800001264,50769.13360000029,18795.737599998713"
318;75;80;"外环路";"外环路";"114.478047457";"LineString";"50296.14660000056,18896.86950000003,50300.872299999,18891.52479999885,50304.490100000054,18884.289200000465,50306.39420000091,18875.149500001222,50306.20380000025,18858.96460000053,50306.58469999954,18854.3946999982,50310.583299998194,18851.348200000823,50319.34219999984,18848.301600001752,50327.14900000021,18846.587900001556,50334.003800000995,18848.11120000109,50341.810600001365,18853.442699998617,50347.14209999889,18859.53579999879,50354.377700001,18864.10570000112,50359.137899998575,18865.628899998963,50363.13659999892,18866.7714000009,50367.565900001675,18867.88280000165"
319;75;80;"外环路";"外环路";"77.1891285944";"LineString";"50296.14660000056,18896.86950000003,50305.00070000067,18892.870799999684,50313.2835999988,18889.015000000596,50318.12570000067,18886.694400001317,50323.1864,18884.686200000346,50325.75860000029,18883.44830000028,50328.751899998635,18882.650100000203,50332.44379999861,18880.953899998218,50336.33509999886,18879.257599998266,50339.66589999944,18877.70630000159,50344.37640000135,18875.740699999034,50367.565900001675,18867.88280000165"
320;55;75;"外环路";"外环路";"494.568008698";"LineString";"49834.549600001425,19068.82030000165,49852.52459999919,19063.14389999956,49905.03049999848,19047.770599998534,49939.797899998724,19038.073600001633,49966.28730000183,19029.322599999607,49999.16259999946,19018.44299999997,50027.07110000029,19007.09039999917,50063.336399998516,18992.702500000596,50090.12150000036,18982.59160000086,50109.45639999956,18974.60929999873,50115.487500000745,18967.513900000602,50150.43230000138,18951.54930000007,50166.042199999094,18948.711100000888,50188.924800001085,18939.487100001425,50210.38830000162,18930.795299999416,50230.96489999816,18923.87730000168,50283.70729999989,18902.41369999945,50296.14660000056,18896.86950000003"
157;55;61;"拐弯";"南三路";"41.4874547255";"LineString";"49834.549600001425,19068.82030000165,49869.990299999714,19090.38800000027"
321;87;61;"外环路";"外环路";"638.935208448";"LineString";"50466.457400001585,18865.028700001538,50460.071600001305,18866.891199998558,50445.836399998516,18870.61630000174,50418.5634999983,18878.598600000143,50381.04670000076,18892.035500001162,50345.259300000966,18906.669799998403,50315.45870000124,18919.042300000787,50286.05719999969,18932.080099999905,50255.05920000002,18944.585700001568,50229.91490000114,18954.297499999404,50196.92139999941,18967.069200001657,50190.53550000116,18971.858600001782,50184.94790000096,18975.18459999934,50180.8236999996,18978.24450000003,50170.180700000376,18983.299899999052,50142.50860000029,18995.140399999917,50133.72810000181,18997.80110000074,50128.0075000003,18999.264600001276,50117.2313000001,19002.457499999553,50104.59270000085,19007.37990000099,50084.88630000129,19015.378800000995,50066.327500000596,19023.161600001156,50031.474199999124,19036.953299999237,49997.94849999994,19048.837999999523,49971.69550000131,19057.5298999995,49932.49350000173,19071.543299999088,49909.25609999895,19079.70300000161,49892.404599998146,19084.137600000948,49873.06960000098,19089.281700000167,49869.990299999714,19090.38800000027"
322;56;55;"拐弯";"外环路";"46.4792006873";"LineString";"49808.856400001794,19107.552400000393,49834.549600001425,19068.82030000165"
323;61;56;"直走";"外环路";"63.4977980431";"LineString";"49869.990299999714,19090.38800000027,49808.856400001794,19107.552400000393"
324;56;43;"外环路";"外环路";"208.708459473";"LineString";"49808.856400001794,19107.552400000393,49804.07669999823,19108.588300000876,49792.12200000137,19112.011900000274,49774.27400000021,19117.119399998337,49746.762099999934,19122.24549999833,49735.365100000054,19124.32979999855,49606.63549999893,19158.730000000447"
