"x";"y";"endnum";"linenum"
"50845.1797";"18796.7821";"113";"307"
"50845.1797";"18796.7821";"113";"308"
"50748.2816";"18824.2061";"107";"309"
"50748.2816";"18824.2061";"107";"310"
"50811.8573";"18822.7427";"112";"311"
"50511.974";"18855.9503";"93";"312"
"51031.9467";"18849.1086";"124";"313"
"51031.9467";"18849.1086";"124";"314"
"51051.4503";"18864.8117";"623";"315"
"50466.4574";"18865.0287";"87";"316"
"50769.1336";"18795.7376";"106";"317"
"50367.5659";"18867.8828";"80";"318"
"50367.5659";"18867.8828";"80";"319"
"50296.1466";"18896.8695";"75";"320"
"49869.9903";"19090.388";"61";"157"
"49869.9903";"19090.388";"61";"321"
"49834.5496";"19068.8203";"55";"322"
"49808.8564";"19107.5524";"56";"323"
"49606.6355";"19158.73";"43";"324"
"49599.3695";"19165.3585";"610";"325"
"49578.6162";"19166.0743";"41";"326"
"49578.6162";"19166.0743";"41";"327"
"51753.4008";"19205.3521";"200";"328"
"51063.7603";"18857.5969";"127";"329"
"51753.4008";"19205.3521";"200";"330"
"49348.0161";"19226.7398";"27";"331"
"51715.0094";"19215.1156";"195";"332"
"51752.6149";"19240.659";"209";"883"
"49249.4194";"19247.906";"23";"333"
"49336.0675";"19256.8796";"29";"530"
"47894.1995";"19231.436";"2";"306"
"48345.6394";"19268.2711";"7";"334"
"47855.4701";"19265.7299";"1";"335"
"47922.2061";"19269.3696";"3";"336"
"49249.4194";"19247.906";"23";"531"
"49336.0675";"19256.8796";"29";"532"
"49834.5496";"19068.8203";"55";"337"
"47922.2061";"19269.3696";"3";"338"
"48345.6394";"19268.2711";"7";"339"
"48303.9007";"19295.8845";"6";"340"
"48303.9007";"19295.8845";"6";"341"
"48376.9797";"19299.828";"9";"342"
"48371.042";"19303.2341";"591";"343"
"48376.9797";"19299.828";"9";"344"
"51752.6149";"19240.659";"209";"345"
"51837.05";"19309.0112";"244";"346"
"49861.7468";"19356.6111";"77";"158"
"49808.8564";"19107.5524";"56";"159"
"49861.7468";"19356.6111";"77";"187"
"49839.5726";"19359.8462";"76";"160"
"49836.2912";"19373.4089";"614";"161"
"49839.5726";"19359.8462";"76";"162"
"49842.0727";"19378.2845";"79";"163"
"49859.7217";"19382.7352";"81";"164"
"51583.4716";"19410.7218";"210";"884"
"50466.4574";"18865.0287";"87";"188"
"51571.0211";"19423.988";"211";"808"
"49859.7217";"19382.7352";"81";"189"
"51715.0094";"19215.1156";"195";"885"
"51523.3061";"19442.0708";"202";"886"
"51492.1589";"19466.3235";"631";"887"
"51523.3061";"19442.0708";"202";"888"
"49367.6393";"19488.5934";"51";"533"
"51670.2301";"19492.3082";"246";"809"
"51837.05";"19309.0112";"244";"811"
"49274.9018";"19269.5564";"24";"534"
"49367.6393";"19488.5934";"51";"696"
"51571.0211";"19423.988";"211";"810"
"51670.2301";"19492.3082";"246";"812"
"49486.9432";"19509.0611";"65";"697"
"51494.1674";"19472.715";"204";"889"
"51459.9431";"19511.5476";"206";"890"
"49503.3166";"19512.9104";"608";"698"
"49156.2099";"19514.3274";"37";"699"
"49259.6252";"19500.314";"42";"700"
"49486.9432";"19509.0611";"65";"701"
"49136.5095";"19510.9141";"603";"702"
"49156.2099";"19514.3274";"37";"703"
"51479.875";"19518.8666";"214";"880"
"51479.875";"19518.8666";"214";"891"
"49359.581";"19525.9126";"52";"535"
"49359.581";"19525.9126";"52";"704"
"51459.9431";"19511.5476";"206";"892"
"51468.0025";"19530.5506";"213";"893"
"49259.6252";"19500.314";"42";"536"
"49245.0005";"19538.6697";"44";"705"
"49842.0727";"19378.2845";"79";"165"
"49804.7299";"19540.4785";"88";"706"
"51427.0937";"19528.5992";"630";"894"
"51459.9431";"19511.5476";"206";"895"
"49186.1087";"19544.5234";"40";"707"
"49157.2278";"19547.2022";"39";"708"
"49157.2278";"19547.2022";"39";"709"
"49131.8228";"19517.5663";"35";"710"
"49176.0958";"19551.7021";"605";"711"
"48817.1685";"19550.935";"18";"712"
"49829.9333";"19554.8072";"96";"713"
"49829.9333";"19554.8072";"96";"166"
"48778.6844";"19548.2062";"596";"714"
"48790.8895";"19553.2206";"17";"715"
"49507.8319";"19508.2826";"67";"716"
"49804.7299";"19540.4785";"88";"167"
"48831.3473";"19585.3767";"21";"190"
"48831.3473";"19585.3767";"21";"717"
"48817.1685";"19550.935";"18";"191"
"48804.1077";"19586.9399";"20";"718"
"49780.3871";"19582.2762";"92";"719"
"49809.4298";"19596.4765";"99";"168"
"51562.126";"19599.3549";"245";"881"
"51654.318";"19508.5487";"247";"813"
"51468.0025";"19530.5506";"213";"882"
"51562.126";"19599.3549";"245";"814"
"48773.8671";"19555.8025";"16";"720"
"48544.797";"19625.2819";"15";"721"
"49948.4366";"19628.7672";"109";"722"
"49961.0083";"19633.9386";"111";"723"
"48526.5189";"19631.0115";"593";"724"
"48544.797";"19625.2819";"15";"725"
"47881.5111";"19646.4439";"4";"347"
"47887.3908";"19651.4515";"589";"348"
"52135.4483";"19666.0893";"331";"349"
"51340.2005";"19667.9535";"219";"896"
"51856.4649";"19327.3799";"255";"350"
"52135.4483";"19666.0893";"331";"1"
"52141.0924";"19681.2153";"334";"2"
"52141.0924";"19681.2153";"334";"3"
"47880.5741";"19682.7344";"5";"351"
"47880.5741";"19682.7344";"5";"352"
"51325.7331";"19683.5812";"220";"897"
"52101.2557";"19677.9363";"321";"353"
"52128.1985";"19722.7227";"340";"556"
"50203.8431";"19733.0042";"128";"726"
"49673.7407";"19735.2837";"100";"169"
"49780.3871";"19582.2762";"92";"170"
"50467.1625";"19732.2145";"139";"727"
"48860.5991";"19746.8772";"32";"192"
"51014.5017";"19747.6359";"172";"728"
"51025.7522";"19742.4273";"622";"729"
"49662.8309";"19741.2754";"612";"171"
"49673.7407";"19735.2837";"100";"172"
"51551.5174";"19613.2673";"248";"815"
"51430.1925";"19750.1861";"253";"853"
"48871.0604";"19754.8455";"599";"193"
"48804.1077";"19586.9399";"20";"194"
"51051.0265";"19759.6385";"177";"730"
"51051.0265";"19759.6385";"177";"731"
"51444.42";"19763.2556";"259";"854"
"51444.42";"19763.2556";"259";"816"
"51325.7331";"19683.5812";"220";"855"
"51430.1925";"19750.1861";"253";"817"
"50486.7564";"19765.2918";"142";"224"
"49809.4298";"19596.4765";"99";"732"
"50203.8431";"19733.0042";"128";"733"
"48848.8502";"19756.1899";"31";"195"
"50467.1625";"19732.2145";"139";"734"
"50462.4182";"19768.3158";"141";"735"
"50183.2252";"19766.1376";"129";"736"
"50215.151";"19770.6377";"130";"148"
"50215.151";"19770.6377";"130";"737"
"48850.7277";"19776.0867";"597";"196"
"48848.8502";"19756.1899";"31";"197"
"48879.3941";"19778.1798";"36";"198"
"48879.3941";"19778.1798";"36";"199"
"51415.6146";"19764.784";"254";"856"
"51429.9088";"19778.5313";"260";"818"
"52101.2557";"19677.9363";"321";"557"
"51989.9144";"19796.141";"326";"558"
"51162.1284";"19803.5116";"203";"738"
"51426.45";"19544.4821";"205";"898"
"49667.0868";"19747.9252";"101";"173"
"47855.4701";"19265.7299";"1";"354"
"51206.1198";"19819.4762";"225";"739"
"51206.1198";"19819.4762";"225";"899"
"51976.9617";"19803.3707";"322";"807"
"52011.3403";"19824.8166";"335";"559"
"52011.3403";"19824.8166";"335";"560"
"50486.7564";"19765.2918";"142";"740"
"51132.3342";"19826.1307";"199";"741"
"49557.2487";"19828.9958";"97";"496"
"49641.4752";"19808.3563";"103";"497"
"49540.4594";"19826.3598";"609";"498"
"49557.2487";"19828.9958";"97";"499"
"51132.3342";"19826.1307";"199";"742"
"51174.9645";"19843.6639";"224";"743"
"49641.4752";"19808.3563";"103";"174"
"51429.9088";"19778.5313";"260";"857"
"51298.7146";"19878.5453";"252";"744"
"51415.6146";"19764.784";"254";"819"
"47838.1106";"19812.9912";"8";"467"
"47838.1106";"19812.9912";"8";"355"
"51174.9645";"19843.6639";"224";"745"
"51329.0474";"19899.6541";"265";"746"
"51329.0474";"19899.6541";"265";"820"
"51512.0736";"19859.3325";"279";"858"
"50183.2252";"19766.1376";"129";"149"
"49644.2403";"19908.9285";"105";"175"
"50508.3825";"19914.6517";"147";"225"
"49245.0005";"19538.6697";"44";"537"
"49651.6209";"19915.7315";"611";"176"
"51276.2501";"19899.4373";"251";"747"
"50203.9524";"19908.548";"133";"150"
"49003.3566";"19926.7904";"60";"200"
"49012.9404";"19927.0842";"602";"201"
"50507.7575";"19928.4023";"149";"226"
"49644.767";"19931.1613";"108";"177"
"48859.8948";"19777.4725";"34";"202"
"51095.2967";"19936.7908";"227";"900"
"51084.4886";"19943.5544";"226";"901"
"48991.4378";"19935.5263";"58";"203"
"49020.2017";"19947.3341";"64";"204"
"49020.2017";"19947.3341";"64";"205"
"49000.0938";"19956.7465";"601";"206"
"48991.4378";"19935.5263";"58";"207"
"51407.0967";"19961.7387";"278";"748"
"51512.0736";"19859.3325";"279";"915"
"49174.2028";"19964.9499";"72";"538"
"49174.2028";"19964.9499";"72";"539"
"51661.4225";"19965.9505";"303";"859"
"51989.9144";"19796.141";"326";"827"
"49106.6133";"19915.0095";"69";"540"
"49049.5367";"19967.5892";"68";"208"
"47806.1687";"19974.7599";"11";"476"
"47832.231";"19896.3565";"10";"356"
"51673.429";"19977.1084";"308";"860"
"51673.429";"19977.1084";"308";"828"
"51557.557";"19902.0277";"285";"861"
"51661.4225";"19965.9505";"303";"829"
"47870.864";"19983.2037";"13";"357"
"47870.864";"19983.2037";"13";"358"
"51645.0671";"19980.7892";"302";"862"
"51659.0559";"19993.7777";"309";"830"
"49008.896";"19957.1081";"63";"209"
"49049.5367";"19967.5892";"68";"541"
"51303.0253";"19921.6684";"264";"749"
"51407.0967";"19961.7387";"278";"916"
"47894.1995";"19231.436";"2";"477"
"47806.1687";"19974.7599";"11";"359"
"47842.075";"20005.5389";"12";"478"
"48550.1691";"20008.2544";"26";"750"
"48565.8194";"20008.3364";"594";"751"
"51463.2685";"20012.3131";"288";"618"
"51463.2685";"20012.3131";"288";"917"
"51180.1251";"20013.4534";"257";"835"
"51276.2501";"19899.4373";"251";"821"
"48526.2456";"19641.1174";"14";"752"
"48570.1946";"20025.1396";"30";"753"
"48570.1946";"20025.1396";"30";"754"
"51194.1196";"20025.9099";"262";"836"
"51194.1196";"20025.9099";"262";"822"
"51084.4886";"19943.5544";"226";"837"
"51180.1251";"20013.4534";"257";"823"
"51819.9607";"20031.3049";"341";"561"
"50972.1233";"20032.4488";"217";"902"
"51132.3342";"19826.1307";"199";"903"
"48522.9252";"20022.0592";"25";"755"
"51169.0368";"20026.1925";"258";"838"
"51184.1611";"20037.987";"263";"824"
"51381.3831";"19998.7384";"280";"619"
"51437.0553";"20040.5052";"291";"918"
"49118.2793";"20041.368";"73";"542"
"51819.5009";"20041.7381";"635";"562"
"48522.9252";"20022.0592";"25";"756"
"50958.0144";"20035.5976";"620";"904"
"50972.1233";"20032.4488";"217";"905"
"51754.0089";"20049.9749";"332";"863"
"51976.9617";"19803.3707";"322";"563"
"51803.3479";"20050.6372";"342";"564"
