"x";"y";"startnum";"linenum"
"50769.1336";"18795.7376";"106";"307"
"50769.1336";"18795.7376";"106";"308"
"50811.8573";"18822.7427";"112";"309"
"50811.8573";"18822.7427";"112";"310"
"51031.9467";"18849.1086";"124";"311"
"50748.2816";"18824.2061";"107";"312"
"51063.7603";"18857.5969";"127";"313"
"51036.3438";"18861.7767";"565";"314"
"51063.7603";"18857.5969";"127";"315"
"50511.974";"18855.9503";"93";"316"
"50367.5659";"18867.8828";"80";"317"
"50296.1466";"18896.8695";"75";"318"
"50296.1466";"18896.8695";"75";"319"
"49834.5496";"19068.8203";"55";"320"
"49834.5496";"19068.8203";"55";"157"
"50466.4574";"18865.0287";"87";"321"
"49808.8564";"19107.5524";"56";"322"
"49869.9903";"19090.388";"61";"323"
"49808.8564";"19107.5524";"56";"324"
"49606.6355";"19158.73";"43";"325"
"49606.6355";"19158.73";"43";"326"
"49588.9524";"19173.0671";"558";"327"
"50845.1797";"18796.7821";"113";"328"
"51715.0094";"19215.1156";"195";"329"
"51715.0094";"19215.1156";"195";"330"
"49578.6162";"19166.0743";"41";"331"
"51752.6149";"19240.659";"209";"332"
"51753.4008";"19205.3521";"200";"883"
"49348.0161";"19226.7398";"27";"333"
"49348.0161";"19226.7398";"27";"530"
"47855.4701";"19265.7299";"1";"306"
"47894.1995";"19231.436";"2";"334"
"47922.2061";"19269.3696";"3";"335"
"47894.1995";"19231.436";"2";"336"
"49274.9018";"19269.5564";"24";"531"
"49274.9018";"19269.5564";"24";"532"
"48345.6394";"19268.2711";"7";"337"
"48303.9007";"19295.8845";"6";"338"
"48303.9007";"19295.8845";"6";"339"
"48306.977";"19299.6812";"540";"340"
"48376.9797";"19299.828";"9";"341"
"48345.6394";"19268.2711";"7";"342"
"48376.9797";"19299.828";"9";"343"
"49249.4194";"19247.906";"23";"344"
"51837.05";"19309.0112";"244";"345"
"51856.4649";"19327.3799";"255";"346"
"49869.9903";"19090.388";"61";"158"
"49839.5726";"19359.8462";"76";"159"
"49839.5726";"19359.8462";"76";"187"
"49835.1974";"19364.346";"560";"160"
"49842.0727";"19378.2845";"79";"161"
"49842.0727";"19378.2845";"79";"162"
"49859.7217";"19382.7352";"81";"163"
"49861.7468";"19356.6111";"77";"164"
"51752.6149";"19240.659";"209";"884"
"49861.7468";"19356.6111";"77";"188"
"51583.4716";"19410.7218";"210";"808"
"50511.974";"18855.9503";"93";"189"
"51523.3061";"19442.0708";"202";"885"
"51507.5112";"19442.6506";"575";"886"
"51494.1674";"19472.715";"204";"887"
"51494.1674";"19472.715";"204";"888"
"49336.0675";"19256.8796";"29";"533"
"51583.4716";"19410.7218";"210";"809"
"51670.2301";"19492.3082";"246";"811"
"49259.6252";"19500.314";"42";"534"
"49259.6252";"19500.314";"42";"696"
"51654.318";"19508.5487";"247";"810"
"51654.318";"19508.5487";"247";"812"
"49507.8319";"19508.2826";"67";"697"
"51459.9431";"19511.5476";"206";"889"
"51448.9697";"19509.8168";"574";"890"
"49507.8319";"19508.2826";"67";"698"
"49150.7184";"19509.8089";"551";"699"
"49156.2099";"19514.3274";"37";"700"
"49494.7051";"19514.5771";"556";"701"
"49131.8228";"19517.5663";"35";"702"
"49131.8228";"19517.5663";"35";"703"
"51459.9431";"19511.5476";"206";"880"
"51571.0211";"19423.988";"211";"891"
"49367.6393";"19488.5934";"51";"535"
"49486.9432";"19509.0611";"65";"704"
"51468.0025";"19530.5506";"213";"892"
"51479.875";"19518.8666";"214";"893"
"49245.0005";"19538.6697";"44";"536"
"49359.581";"19525.9126";"52";"705"
"49804.7299";"19540.4785";"88";"165"
"49367.6393";"19488.5934";"51";"706"
"51426.45";"19544.4821";"205";"894"
"51426.45";"19544.4821";"205";"895"
"49245.0005";"19538.6697";"44";"707"
"49186.1087";"19544.5234";"40";"708"
"49159.4545";"19550.4836";"552";"709"
"48817.1685";"19550.935";"18";"710"
"49186.1087";"19544.5234";"40";"711"
"48790.8895";"19553.2206";"17";"712"
"49804.7299";"19540.4785";"88";"713"
"49859.7217";"19382.7352";"81";"166"
"48773.8671";"19555.8025";"16";"714"
"48773.8671";"19555.8025";"16";"715"
"49780.3871";"19582.2762";"92";"716"
"49780.3871";"19582.2762";"92";"167"
"48817.1685";"19550.935";"18";"190"
"49157.2278";"19547.2022";"39";"717"
"48804.1077";"19586.9399";"20";"191"
"48831.3473";"19585.3767";"21";"718"
"49809.4298";"19596.4765";"99";"719"
"49829.9333";"19554.8072";"96";"168"
"51479.875";"19518.8666";"214";"881"
"51562.126";"19599.3549";"245";"813"
"51551.5174";"19613.2673";"248";"882"
"51551.5174";"19613.2673";"248";"814"
"48544.797";"19625.2819";"15";"720"
"48537.6595";"19625.3485";"543";"721"
"49829.9333";"19554.8072";"96";"722"
"49948.4366";"19628.7672";"109";"723"
"48526.2456";"19641.1174";"14";"724"
"48526.2456";"19641.1174";"14";"725"
"47922.2061";"19269.3696";"3";"347"
"47881.5111";"19646.4439";"4";"348"
"51753.4008";"19205.3521";"200";"349"
"51468.0025";"19530.5506";"213";"896"
"52101.2557";"19677.9363";"321";"350"
"52101.2557";"19677.9363";"321";"1"
"52135.4483";"19666.0893";"331";"2"
"52135.4483";"19666.0893";"331";"3"
"47881.5111";"19646.4439";"4";"351"
"47888.3869";"19679.2652";"538";"352"
"51340.2005";"19667.9535";"219";"897"
"52128.1985";"19722.7227";"340";"353"
"52141.0924";"19681.2153";"334";"556"
"49961.0083";"19633.9386";"111";"726"
"49666.2982";"19734.4316";"559";"169"
"49673.7407";"19735.2837";"100";"170"
"50203.8431";"19733.0042";"128";"727"
"48831.3473";"19585.3767";"21";"192"
"50467.1625";"19732.2145";"139";"728"
"51014.5017";"19747.6359";"172";"729"
"49667.0868";"19747.9252";"101";"171"
"49667.0868";"19747.9252";"101";"172"
"51430.1925";"19750.1861";"253";"815"
"51340.2005";"19667.9535";"219";"853"
"48860.5991";"19746.8772";"32";"193"
"48848.8502";"19756.1899";"31";"194"
"51014.5017";"19747.6359";"172";"730"
"51043.4799";"19750.7827";"566";"731"
"51430.1925";"19750.1861";"253";"854"
"51856.4649";"19327.3799";"255";"816"
"51415.6146";"19764.784";"254";"855"
"51415.6146";"19764.784";"254";"817"
"50467.1625";"19732.2145";"139";"224"
"50183.2252";"19766.1376";"129";"732"
"50183.2252";"19766.1376";"129";"733"
"48846.9515";"19766.8991";"546";"195"
"50462.4182";"19768.3158";"141";"734"
"50486.7564";"19765.2918";"142";"735"
"50215.151";"19770.6377";"130";"736"
"50203.8431";"19733.0042";"128";"148"
"50462.4182";"19768.3158";"141";"737"
"48859.8948";"19777.4725";"34";"196"
"48859.8948";"19777.4725";"34";"197"
"48860.5991";"19746.8772";"32";"198"
"48881.8942";"19769.2211";"547";"199"
"51429.9088";"19778.5313";"260";"856"
"51444.42";"19763.2556";"259";"818"
"51989.9144";"19796.141";"326";"557"
"51976.9617";"19803.3707";"322";"558"
"51051.0265";"19759.6385";"177";"738"
"51162.1284";"19803.5116";"203";"898"
"49641.4752";"19808.3563";"103";"173"
"47838.1106";"19812.9912";"8";"354"
